Time (s),Mass 1 (g),Mass 2 (g),Mass 3 (g),Mass 4 (g),Mass 5 (g),Trial Number,Rate (all) (g/s),Rate (initial) (g/s),Average (all) (g/s),No Outliers Rate (all) (g/s) ,Average (initial) (g/s),No Outliers Rate (initial) (g/s)
0,53.06,52.39,52.49,52.84,52.63,Trial 1,-1.681E-3,-3.333E-3,-1.600E-3,-1.591E-3,-3.800E-3,-3.778E-3
1,53.07,52.38,52.49,52.85,52.62,Trial 2,-1.681E-3,-4.000E-3,,,,
2,53.07,52.38,52.49,52.87,52.62,Trial 3,-1.546E-3,-4.000E-3,,,,
3,53.06,52.38,52.49,52.88,52.62,Trial 4,-1.546E-3,-4.667E-3,,,,
4,53.05,52.39,52.49,52.87,52.63,Trial 5,-1.546E-3,-3.000E-3,,,,
5,53.05,52.4,52.49,52.86,52.63,,,,,,,
6,53.04,52.4,52.49,52.86,52.63,,,,,,,
7,53.04,52.39,52.49,52.86,52.61,,,,,,,
8,53.04,52.39,52.48,52.85,52.61,,,,,,,
9,53.02,52.39,52.48,52.84,52.61,,,,,,,
10,53.02,52.38,52.47,52.84,52.61,,,,,,,
11,53.01,52.38,52.46,52.84,52.61,,,,,,,
12,53.01,52.38,52.46,52.84,52.6,,,,,,,
13,53.02,52.38,52.46,52.83,52.6,,,,,,,
14,53.01,52.38,52.46,52.83,52.59,,,,,,,
15,53.01,52.36,52.46,52.83,52.59,,,,,,,
16,53.01,52.36,52.44,52.83,52.59,,,,,,,
17,53.01,52.36,52.44,52.82,52.59,,,,,,,
18,53.01,52.36,52.44,52.83,52.59,,,,,,,
19,53,52.36,52.44,52.83,52.58,,,,,,,
20,52.99,52.35,52.43,52.81,52.58,,,,,,,
21,52.99,52.34,52.42,52.81,52.58,,,,,,,
22,52.99,52.33,52.45,52.8,52.58,,,,,,,
23,52.99,52.34,52.45,52.79,52.56,,,,,,,
24,52.97,52.34,52.44,52.8,52.57,,,,,,,
25,52.97,52.32,52.43,52.8,52.56,,,,,,,
