,,,,,,,,,,,,,,,,,,,,,,,,
,Trial 1,,,Trial 2,,,Trial 3,,,Trial 4,,,Trial 5,,,,Rate (all) (g/s),Rate (initial) (g/s),,,,,,
,Time (s),Mass (g),,Time (s),Mass (g),,Time (s),Mass (g),,Time (s),Mass (g),,Time (s),Mass (g),,Trial 1,-1.681E-3,-3.333E-3,,,,,,
,0,53.06,,0,52.39,,0,52.49,,0,52.84,,0,52.63,,Trial 2,-1.681E-3,-4.000E-3,,Average (all) (g/s),No Outliers Rate (all) (g/s) ,,Average (initial) (g/s),No Outliers Rate (initial) (g/s)
,1,53.07,,1,52.38,,1,52.49,,1,52.85,,1,52.62,,Trial 3,-1.546E-3,-4.000E-3,,-1.600E-3,-1.591E-3,,-3.800E-3,-3.778E-3
,2,53.07,,2,52.38,,2,52.49,,2,52.87,,2,52.62,,Trial 4,-1.546E-3,-4.667E-3,,,,,,
,3,53.06,,3,52.38,,3,52.49,,3,52.88,,3,52.62,,Trial 5,-1.546E-3,-3.000E-3,,,,,,
,4,53.05,,4,52.39,,4,52.49,,4,52.87,,4,52.63,,,,,,,,,,
,5,53.05,,5,52.4,,5,52.49,,5,52.86,,5,52.63,,,,,,,,,,
,6,53.04,,6,52.4,,6,52.49,,6,52.86,,6,52.63,,,,,,,,,,
,7,53.04,,7,52.39,,7,52.49,,7,52.86,,7,52.61,,,,,,,,,,
,8,53.04,,8,52.39,,8,52.48,,8,52.85,,8,52.61,,,,,,,,,,
,9,53.02,,9,52.39,,9,52.48,,9,52.84,,9,52.61,,,,,,,,,,
,10,53.02,,10,52.38,,10,52.47,,10,52.84,,10,52.61,,,,,,,,,,
,11,53.01,,11,52.38,,11,52.46,,11,52.84,,11,52.61,,,,,,,,,,
,12,53.01,,12,52.38,,12,52.46,,12,52.84,,12,52.6,,,,,,,,,,
,13,53.02,,13,52.38,,13,52.46,,13,52.83,,13,52.6,,,,,,,,,,
,14,53.01,,14,52.38,,14,52.46,,14,52.83,,14,52.59,,,,,,,,,,
,15,53.01,,15,52.36,,15,52.46,,15,52.83,,15,52.59,,,,,,,,,,
,16,53.01,,16,52.36,,16,52.44,,16,52.83,,16,52.59,,,,,,,,,,
,17,53.01,,17,52.36,,17,52.44,,17,52.82,,17,52.59,,,,,,,,,,
,18,53.01,,18,52.36,,18,52.44,,18,52.83,,18,52.59,,,,,,,,,,
,19,53,,19,52.36,,19,52.44,,19,52.83,,19,52.58,,,,,,,,,,
,20,52.99,,20,52.35,,20,52.43,,20,52.81,,20,52.58,,,,,,,,,,
,21,52.99,,21,52.34,,21,52.42,,21,52.81,,21,52.58,,,,,,,,,,
,22,52.99,,22,52.33,,22,52.45,,22,52.8,,22,52.58,,,,,,,,,,
,23,52.99,,23,52.34,,23,52.45,,23,52.79,,23,52.56,,,,,,,,,,
,24,52.97,,24,52.34,,24,52.44,,24,52.8,,24,52.57,,,,,,,,,,
,25,52.97,,25,52.32,,25,52.43,,25,52.8,,25,52.56,,,,,,,,,,
,26,52.98,,26,52.32,,26,52.43,,26,52.79,,26,52.56,,,,,,,,,,
,27,52.98,,27,52.32,,27,52.42,,27,52.79,,27,52.56,,,,,,,,,,
,28,52.96,,28,52.31,,28,52.42,,28,52.8,,28,52.55,,,,,,,,,,
,29,52.96,,29,52.31,,29,52.42,,29,52.79,,29,52.55,,,,,,,,,,
,30,52.96,,30,52.31,,30,52.41,,30,52.79,,30,52.55,,,,,,,,,,
,31,52.95,,31,52.31,,31,52.41,,31,52.77,,31,52.55,,,,,,,,,,
,32,52.94,,32,52.31,,32,52.39,,32,52.77,,32,52.53,,,,,,,,,,
,33,52.94,,33,52.3,,33,52.4,,33,52.76,,33,52.53,,,,,,,,,,
,34,52.94,,34,52.3,,34,52.39,,34,52.77,,34,52.52,,,,,,,,,,
,35,52.94,,35,52.29,,35,52.39,,35,52.76,,35,52.53,,,,,,,,,,
,36,52.93,,36,52.29,,36,52.38,,36,52.76,,36,52.51,,,,,,,,,,
,37,52.92,,37,52.22,,37,52.38,,37,52.76,,37,52.53,,,,,,,,,,
