Time,Mass 1,Mass 2,Mass 3,Mass 4,Mass 5
5,53.6,52.93,54.19,53.32,53.56
6,53.59,52.92,54.18,53.3,53.56
7,53.59,52.91,54.18,53.31,53.56
8,53.58,52.91,54.17,53.3,53.55
9,53.57,52.9,54.16,53.29,53.54
10,53.56,52.9,54.16,53.29,53.52
11,53.55,52.88,54.15,53.29,53.51
12,53.54,52.87,54.14,53.28,53.5
13,53.53,52.86,54.13,53.26,53.47
14,53.53,52.85,54.13,53.26,53.49
15,53.52,52.84,54.13,53.25,53.49
16,53.51,52.84,54.12,53.23,53.5
17,53.5,52.83,54.11,53.23,53.48
18,53.49,52.82,54.11,53.23,53.47
19,53.49,52.81,54.11,53.21,53.46
20,53.48,52.81,54.09,53.21,53.47
21,53.47,52.81,54.09,53.19,53.42
22,53.46,52.81,54.08,53.18,53.43
23,53.46,52.81,54.08,53.18,53.42
24,53.45,52.81,54.07,53.18,53.39
25,53.44,52.78,54.07,53.17,53.39
26,53.43,52.78,54.07,53.15,53.39
27,53.4,52.77,54.05,53.15,53.38
28,53.4,52.76,54.05,53.14,53.39
29,53.4,52.75,54.03,53.14,53.38
30,53.4,52.74,54.02,53.14,53.37
31,53.4,52.74,54.02,53.13,53.37
32,53.39,52.74,54.01,53.13,53.38
33,53.39,52.73,53.99,53.1,53.36
34,53.38,52.73,54,53.11,53.35
35,53.37,52.72,54,53.11,53.32
36,53.37,52.71,54,53.1,53.29
37,53.36,52.71,53.99,53.1,53.3
38,53.35,52.71,53.99,53.1,53.32
39,53.35,52.7,53.97,53.09,53.32
40,53.35,52.68,53.97,53.08,53.33
41,53.34,52.68,53.96,53.08,53.29
42,53.33,52.68,53.95,53.07,53.29
43,53.33,52.67,53.93,53.07,53.29
44,53.32,52.67,53.92,53.05,53.3
45,53.31,52.66,53.91,53.05,53.29
46,53.3,52.66,53.91,53.05,53.29
47,53.29,52.65,53.9,53.04,53.27
48,53.29,52.65,53.92,53.04,53.26
49,53.29,52.65,53.92,53.03,53.24
50,53.28,52.64,53.9,53.02,53.24
51,53.27,52.64,53.9,53.02,53.24
52,53.25,52.64,53.89,53.03,53.23
53,53.24,52.63,53.9,53.02,53.22
54,53.24,52.62,53.9,53.02,53.22
55,53.24,52.61,53.9,53.01,53.2
56,53.24,52.6,53.89,53,53.2
57,53.23,52.59,53.88,53,53.2
58,53.23,52.59,53.86,53,53.19
59,53.22,52.58,53.86,53,53.19
60,53.21,52.57,53.86,52.98,53.17
61,53.2,52.57,53.85,52.98,53.17
62,53.19,52.57,53.85,52.98,53.14
63,53.19,52.56,53.84,52.96,53.14
64,53.17,52.57,53.83,52.96,53.13
65,53.19,52.56,53.83,52.96,53.12
66,53.18,52.56,53.83,52.95,53.11
67,53.18,52.55,53.82,52.96,53.12
68,53.18,52.56,53.81,52.95,53.12
69,53.17,52.54,53.8,52.95,53.12
70,53.17,52.54,53.79,52.94,53.11
71,53.17,52.54,53.79,52.93,53.11
72,53.16,52.53,53.79,52.92,53.11
73,53.15,52.53,53.79,52.93,53.1
74,53.15,52.51,53.79,52.93,53.1
75,53.14,52.5,53.78,52.92,53.09
76,53.14,52.5,53.77,52.92,53.09
77,53.13,52.5,53.77,52.92,53.09
78,53.13,52.49,53.77,52.92,53.08
79,53.13,52.49,53.77,52.91,53.07
80,53.12,52.48,53.76,52.9,53.07
81,53.12,52.48,53.75,52.9,53.07
82,53.11,52.47,53.73,52.91,53.06
83,53.11,52.47,53.73,52.9,53.05
84,53.11,52.47,53.72,52.89,53.05
85,53.11,52.46,53.71,52.89,53.04
86,53.1,52.46,53.69,52.88,53.02
87,53.1,52.45,53.71,52.88,53.01
88,53.1,52.44,53.69,52.87,53.02
89,53.09,52.44,53.68,52.87,53.01
90,53.08,52.43,53.67,52.86,53.02
91,53.08,52.43,53.68,52.86,53.01
92,53.08,52.43,53.68,52.85,53
93,53.07,52.42,53.68,52.84,53.01
94,53.07,52.42,53.68,52.84,52.99
95,53.06,52.41,53.67,52.84,53.01
96,53.05,52.4,53.66,52.84,52.99
97,53.05,52.41,53.66,52.82,52.99
98,53.05,52.39,53.66,52.83,52.99
99,53.04,52.39,53.66,52.82,52.98
100,53.04,52.38,53.65,52.82,52.97
101,53.03,52.4,53.63,52.81,52.96
102,53.03,52.39,53.63,52.81,52.96
103,53.03,52.39,53.63,52.81,52.94
